SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_23_P149200	0.537316379	0.564025222	0.501197585	0.313410298	0.458601628
UKv4_A_23_P24623	0.661645045	0.187689352	0.468437077	0.496828287	0.526946957
UKv4_A_23_P129433	1.029836879	0.723454781	0.925412728	0.762166954	0.81240654
UKv4_A_23_P76690	0.838070299	0.834644924	0.902346657	0.813367378	0.936724336
UKv4_A_23_P68624	-1.16461202	-0.653250254	-0.620682653	-0.99280287	-0.720355288
UKv4_A_23_P91742	-1.466005162	-0.908132275	-0.861372096	-1.091589571	-0.997860889
UKv4_A_23_P23983	0.601238573	0.71455957	0.67536314	0.935344859	0.694864359
UKv4_A_23_P131653	0.714061244	0.828828825	0.863568913	0.954017954	0.938197295
UKv4_A_23_P171314	0.599001296	0.700190382	0.737875537	0.714279499	0.7590854
UKv4_A_23_P78762	-0.039261805	-0.046323134	0.006781354	0.030302071	-0.058996398
UKv4_A_23_P69738	0.334683026	0.641345137	0.138491966	0.637478863	0.483641943
UKv4_A_32_P54242	-0.137382372	0.140134183	0.096705604	-0.201003373	-0.14000918
UKv4_A_23_P46063	1.063715642	1.326276419	1.081192284	0.988352356	1.048374678
UKv4_A_23_P165280	0.805789591	0.960204255	0.9448016	0.930224816	0.968834856
UKv4_A_23_P399897	-0.778841583	-0.703884535	-0.99408558	-1.043099757	-1.040282127
UKv4_A_23_P27827	0.560008758	0.561288234	0.430662206	0.413100535	0.602362492
UKv4_A_23_P19182	1.964379347	2.284222269	2.20240394	2.134338315	2.099184104
UKv4_A_23_P168276	1.071066694	0.996469348	1.138356027	1.201888242	1.048963862
UKv4_A_32_P202472	-1.203924169	-0.87460417	-1.179951317	-0.74282433	-1.140443385
UKv4_A_23_P207868	-1.375555258	-0.76170341	-0.531761275	-1.467460918	-1.507210341
UKv4_A_23_P257057	0.11447107	0.218822592	0.659985759	0.450145547	0.517814607
UKv4_A_23_P77669	0.883135446	1.109370109	1.012662651	1.041058675	0.950570156
UKv4_A_23_P157970	0.199807198	0.192136958	0.355781046	0.328168067	0.369340272
UKv4_A_23_P312415	-1.10164866	-0.818838037	-0.842651806	-0.771436332	-0.709160795
UKv4_A_23_P87982	-0.836691168	-0.487320348	-0.460223024	-0.647049419	-0.670274659
UKv4_A_23_P26687	0.575350084	0.554787887	0.623882343	0.562184122	0.650086385
UKv4_A_24_P304723	1.316208306	1.182242418	1.529810663	1.479575247	1.681452743
UKv4_A_23_P40588	0.480106016	0.207190393	0.423642098	0.481166981	0.433266722
UKv4_A_23_P2431	0.379108951	0.343697676	0.246133633	0.464300959	0.326624442
UKv4_A_24_P45451	-0.98594949	-0.982373078	-1.193322953	-1.448787822	-1.432973174
UKv4_A_23_P355439	-0.871209152	-0.633749214	-0.633051416	-0.869319495	-0.840843389
UKv4_A_24_P300483	0.042878213	0.178109894	-0.146323875	0.014038407	0.081818546
UKv4_A_23_P251443	-0.795780964	-0.482188496	-0.650768833	-0.654277714	-0.832889407
UKv4_A_23_P389500	-0.691587789	-0.068903286	-0.179752965	-0.566032278	-0.593091573
UKv4_A_23_P500905	-0.618077267	-0.295046931	-0.598285163	-0.500074085	-0.508249096
UKv4_A_24_P930442	-0.036385307	0.067946121	0.093362695	0.067949442	0.058545783
